,n_value,accuracy_1,accuracy_5,accuracy_10
335,1680,631,1128,1316
336,1685,631,1128,1316
337,1690,631,1128,1316
338,1695,631,1128,1316
339,1700,631,1128,1316
340,1705,631,1128,1316
341,1710,631,1128,1316
342,1715,631,1128,1316
343,1720,631,1128,1316
344,1725,631,1128,1316
345,1730,631,1128,1316
346,1735,631,1128,1316
347,1740,631,1128,1316
348,1745,631,1128,1316
349,1750,631,1128,1316
350,1755,631,1128,1316
351,1760,631,1128,1316
352,1765,631,1128,1316
353,1770,631,1128,1316
354,1775,631,1128,1316
355,1780,631,1128,1316
356,1785,631,1128,1316
357,1790,631,1128,1316
358,1795,631,1128,1316
359,1800,631,1128,1316
360,1805,631,1128,1316
361,1810,631,1128,1316
362,1815,631,1128,1316
363,1820,631,1128,1316
364,1825,631,1128,1316
365,1830,631,1128,1316
366,1835,631,1128,1316
367,1840,631,1128,1316
368,1845,631,1128,1316
369,1850,631,1128,1316
370,1855,631,1128,1316
371,1860,631,1128,1316
372,1865,631,1128,1316
373,1870,631,1128,1316
374,1875,631,1128,1316
375,1880,631,1128,1316
376,1885,631,1128,1316
377,1890,631,1128,1316
378,1895,631,1128,1316
379,1900,631,1128,1316
380,1905,631,1128,1316
381,1910,631,1128,1316
382,1915,631,1128,1316
383,1920,631,1128,1316
384,1925,631,1128,1316
385,1930,631,1128,1316
386,1935,631,1128,1316
387,1940,631,1128,1316
388,1945,631,1128,1316
389,1950,631,1128,1316
390,1955,631,1128,1316
391,1960,631,1128,1316
392,1965,631,1128,1316
393,1970,631,1128,1316
394,1975,631,1128,1316
395,1980,631,1128,1316
396,1985,631,1128,1316
397,1990,631,1128,1316
398,1995,631,1128,1316
399,2000,631,1128,1316
400,2005,631,1128,1316
401,2010,631,1128,1316
402,2015,631,1128,1316
403,2020,631,1128,1316
404,2025,631,1128,1316
405,2030,631,1128,1316
406,2035,631,1128,1316
407,2040,631,1128,1316
408,2045,631,1128,1316
409,2050,631,1128,1316
410,2055,631,1128,1316
411,2060,631,1128,1316
412,2065,631,1128,1316
413,2070,631,1128,1316
414,2075,631,1128,1316
415,2080,631,1128,1316
416,2085,631,1128,1316
417,2090,631,1128,1316
418,2095,631,1128,1316
419,2100,631,1128,1316
420,2105,631,1128,1316
421,2110,631,1128,1316
422,2115,631,1128,1316
423,2120,631,1128,1316
424,2125,631,1128,1316
425,2130,631,1128,1316
426,2135,631,1128,1316
427,2140,631,1128,1316
428,2145,631,1128,1316
429,2150,631,1128,1316
430,2155,631,1128,1316
431,2160,631,1128,1316
432,2165,631,1128,1316
433,2170,631,1128,1316
434,2175,631,1128,1316
435,2180,631,1128,1316
436,2185,631,1128,1316
437,2190,631,1128,1316
438,2195,631,1128,1316
439,2200,631,1128,1316
440,2205,631,1128,1316
441,2210,631,1128,1316
442,2215,631,1128,1316
443,2220,631,1128,1316
444,2225,631,1128,1316
445,2230,631,1128,1316
446,2235,631,1128,1316
447,2240,631,1128,1316
448,2245,631,1128,1316
449,2250,631,1128,1316
450,2255,631,1128,1316
451,2260,631,1128,1316
452,2265,631,1128,1316
453,2270,631,1128,1316
454,2275,631,1128,1316
455,2280,631,1128,1316
456,2285,631,1128,1316
457,2290,631,1128,1316
458,2295,631,1128,1316
459,2300,631,1128,1316
460,2305,631,1128,1316
461,2310,631,1128,1316
462,2315,631,1128,1316
463,2320,631,1128,1316
464,2325,631,1128,1316
465,2330,631,1128,1316
466,2335,631,1128,1316
467,2340,631,1128,1315
468,2345,631,1128,1315
469,2350,631,1128,1315
470,2355,631,1128,1315
471,2360,631,1128,1315
472,2365,631,1128,1315
473,2370,631,1128,1315
474,2375,631,1128,1315
475,2380,631,1128,1315
476,2385,631,1128,1315
477,2390,631,1128,1315
478,2395,631,1128,1315
479,2400,631,1128,1315
480,2405,631,1128,1315
481,2410,631,1128,1315
482,2415,631,1128,1315
483,2420,631,1128,1315
484,2425,631,1128,1315
485,2430,631,1128,1315
486,2435,631,1128,1315
487,2440,631,1128,1315
488,2445,631,1128,1315
489,2450,631,1128,1315
490,2455,631,1128,1315
491,2460,631,1128,1315
492,2465,631,1128,1315
493,2470,631,1128,1314
494,2475,631,1128,1315
495,2480,631,1128,1315
496,2485,631,1128,1315
497,2490,631,1128,1315
498,2495,631,1128,1315
499,2500,631,1128,1314
500,2505,631,1128,1315
501,2510,631,1128,1315
502,2515,631,1128,1314
503,2520,631,1128,1315
504,2525,631,1128,1315
505,2530,631,1128,1314
506,2535,631,1128,1314
507,2540,631,1128,1314
508,2545,631,1128,1314
509,2550,631,1128,1314
510,2555,631,1128,1314
511,2560,631,1128,1314
512,2565,631,1128,1314
513,2570,631,1128,1314
514,2575,631,1128,1314
515,2580,631,1128,1314
516,2585,631,1128,1314
517,2590,631,1128,1314
518,2595,631,1128,1314
519,2600,631,1128,1314
520,2605,631,1128,1314
521,2610,631,1128,1314
522,2615,631,1128,1314
523,2620,631,1128,1314
524,2625,631,1128,1314
525,2630,631,1128,1314
526,2635,631,1128,1314
527,2640,631,1128,1314
528,2645,631,1128,1314
529,2650,631,1128,1314
530,2655,631,1128,1314
531,2660,631,1128,1314
532,2665,631,1128,1314
533,2670,631,1128,1314
534,2675,631,1128,1314
535,2680,631,1128,1314
536,2685,631,1128,1314
537,2690,631,1128,1314
538,2695,631,1128,1314
539,2700,631,1128,1314
540,2705,631,1128,1314
541,2710,631,1128,1314
542,2715,631,1128,1314
543,2720,631,1128,1314
544,2725,631,1128,1314
545,2730,631,1128,1314
546,2735,631,1128,1314
547,2740,631,1128,1314
548,2745,631,1128,1314
549,2750,631,1128,1314
550,2755,631,1128,1314
551,2760,631,1128,1314
552,2765,631,1128,1314
553,2770,631,1128,1314
