,n_value,accuracy_1,accuracy_5,accuracy_10
408,2045,631,1128,1311
409,2050,631,1128,1311
410,2055,631,1128,1311
411,2060,631,1128,1311
412,2065,631,1128,1311
413,2070,631,1128,1311
414,2075,631,1128,1311
415,2080,631,1128,1311
416,2085,631,1128,1311
417,2090,631,1128,1311
418,2095,631,1128,1311
419,2100,631,1128,1311
420,2105,631,1128,1311
421,2110,631,1128,1311
422,2115,631,1128,1311
423,2120,631,1128,1311
424,2125,631,1128,1311
425,2130,631,1128,1311
426,2135,631,1128,1311
427,2140,631,1128,1311
428,2145,631,1128,1311
429,2150,631,1128,1311
430,2155,631,1128,1311
431,2160,631,1128,1311
432,2165,631,1128,1311
433,2170,631,1128,1311
434,2175,631,1128,1311
435,2180,631,1128,1311
436,2185,631,1128,1311
437,2190,631,1128,1311
438,2195,631,1128,1311
439,2200,631,1128,1311
440,2205,631,1128,1311
441,2210,631,1128,1311
442,2215,631,1128,1311
443,2220,631,1128,1311
444,2225,631,1128,1311
445,2230,631,1128,1311
446,2235,631,1128,1311
447,2240,631,1128,1311
448,2245,631,1128,1311
449,2250,631,1128,1311
450,2255,631,1128,1311
451,2260,631,1128,1311
452,2265,631,1128,1311
453,2270,631,1128,1311
454,2275,631,1128,1311
455,2280,631,1128,1311
456,2285,631,1128,1311
457,2290,631,1128,1311
458,2295,631,1128,1311
459,2300,631,1128,1311
460,2305,631,1128,1311
461,2310,631,1128,1311
462,2315,631,1128,1311
463,2320,631,1128,1311
464,2325,631,1128,1311
465,2330,631,1128,1311
466,2335,631,1128,1311
467,2340,631,1128,1311
468,2345,631,1128,1311
469,2350,631,1128,1311
470,2355,631,1128,1311
471,2360,631,1128,1311
472,2365,631,1128,1311
473,2370,631,1128,1311
474,2375,631,1128,1311
475,2380,631,1128,1311
476,2385,631,1128,1311
477,2390,631,1128,1311
478,2395,631,1128,1311
479,2400,631,1128,1311
480,2405,631,1128,1311
481,2410,631,1128,1311
482,2415,631,1128,1311
483,2420,631,1128,1311
484,2425,631,1128,1311
485,2430,631,1128,1311
486,2435,631,1128,1311
487,2440,631,1128,1311
488,2445,631,1128,1311
489,2450,631,1128,1311
490,2455,631,1128,1311
491,2460,631,1128,1311
492,2465,631,1128,1311
493,2470,631,1128,1311
494,2475,631,1128,1311
495,2480,631,1128,1311
496,2485,631,1128,1311
497,2490,631,1128,1311
498,2495,631,1128,1311
499,2500,631,1128,1311
500,2505,631,1128,1311
501,2510,631,1128,1311
502,2515,631,1128,1311
503,2520,631,1128,1311
504,2525,631,1128,1311
505,2530,631,1128,1311
506,2535,631,1128,1311
507,2540,631,1128,1311
508,2545,631,1128,1311
509,2550,631,1128,1311
510,2555,631,1128,1311
511,2560,631,1128,1311
512,2565,631,1128,1311
513,2570,631,1128,1311
514,2575,631,1128,1311
515,2580,631,1128,1311
516,2585,631,1128,1311
517,2590,631,1128,1311
518,2595,631,1128,1311
519,2600,631,1128,1311
520,2605,631,1128,1311
521,2610,631,1128,1311
522,2615,631,1128,1311
523,2620,631,1128,1311
524,2625,631,1128,1311
525,2630,631,1128,1311
526,2635,631,1128,1311
527,2640,631,1128,1311
528,2645,631,1128,1311
529,2650,631,1128,1311
530,2655,631,1128,1311
531,2660,631,1128,1311
532,2665,631,1128,1311
533,2670,631,1128,1311
534,2675,631,1128,1311
535,2680,631,1128,1311
536,2685,631,1128,1311
537,2690,631,1128,1311
538,2695,631,1128,1311
539,2700,631,1128,1311
540,2705,631,1128,1311
541,2710,631,1128,1311
542,2715,631,1128,1311
543,2720,631,1128,1311
544,2725,631,1128,1311
545,2730,631,1128,1310
546,2735,631,1128,1310
547,2740,631,1128,1310
548,2745,631,1128,1310
549,2750,631,1128,1310
550,2755,631,1128,1310
551,2760,631,1128,1310
552,2765,631,1128,1310
553,2770,631,1128,1310
554,2775,631,1128,1310
555,2780,631,1128,1310
556,2785,631,1128,1310
557,2790,631,1128,1310
558,2795,631,1128,1310
559,2800,631,1128,1310
560,2805,631,1128,1310
561,2810,631,1128,1310
562,2815,631,1128,1310
563,2820,631,1128,1310
564,2825,631,1128,1310
565,2830,631,1128,1310
566,2835,631,1128,1310
567,2840,631,1128,1310
