STU_ID_PROXY,COURSE_CREDITS_REQ_bach,FACULTY_CODE_bach,LOCATION_CODE_bach,STUDY_YEAR_bach,N_SUBJECTS_bach,CODE_DESCR_bach,top5_bach_bach,COURSE_CODE,COURSE_CREDITS_REQ_mast,FACULTY_CODE_mast,LOCATION_CODE_mast,STUDY_YEAR_mast,N_SUBJECTS_mast,CODE_DESCR_mast,IS_GENDER_MALE,AGE_BAND,STATE,IS_INTERNATIONAL,HOME_LANGUAGE,ATAR_BAND,LANGUAGE_TEST_TYPE,LANGUAGE_TEST_SCORE
99235,300.0,603,U,2019,2,Bachelor of Science,BSC,,,,,,,,0,<18,NT,0,English,Band3 - 85.00 - 89.95,Not Entered, 
99275,300.0,702,U,2019,2,Bachelor of Environments,BOE,,,,,,,,0,19,TAS,0,English,Band3 - 85.00 - 89.95,Tertiary English, 
99333,300.0,100,U,2019,2,Bachelor of Arts,BOA,,,,,,,,0,18,QLD,0,English,Band4 - 90.00 - 94.95,Tertiary English, 
99343,300.0,603,U,2019,8,Bachelor of Science,BSC,,,,,,,,0,18,VIC,0,English,Band4 - 90.00 - 94.95,Not Entered, 
99371,300.0,300,U,2019,8,Bachelor of Commerce,BOC,,,,,,,,1,18,VIC,0,Not English,Band5 - 95.00 - 97.95,Not Entered, 
99590,300.0,100,U,2019,8,Bachelor of Arts,BOA,,,,,,,,0,<18,NSW,0,English,Band3 - 85.00 - 89.95,Not Entered, 
151623,300.0,300,U,2019,6,Bachelor of Commerce,BOC,,,,,,,,1,20-21,,1,English,,Not Entered, 
151601,300.0,100,U,2019,3,Bachelor of Arts,BOA,,,,,,,,0,18,,1,English,,Not Entered, 
154808,300.0,702,U,2019,3,Bachelor of Environments,BOE,,,,,,,,0,19,,1,Not English,,IELTS,6
114455,300.0,300,U,2019,1,Bachelor of Commerce,BOC,,,,,,,,1,20-21,,1,Not English,,Not Entered, 
114459,300.0,300,U,2019,3,Bachelor of Commerce,BOC,,,,,,,,0,<18,,1,English,,Not Entered, 
140095,300.0,603,U,2019,5,Bachelor of Science,BSC,,,,,,,,1,<18,VIC,0,English,Band5 - 95.00 - 97.95,Not Entered, 
129855,300.0,603,U,2019,8,Bachelor of Science,BSC,,,,,,,,1,18,VIC,0,Not English,Band5 - 95.00 - 97.95,Not Entered, 
140082,300.0,603,U,2019,7,Bachelor of Science,BSC,,,,,,,,0,<18,VIC,0,English,Band5 - 95.00 - 97.95,Not Entered, 
140060,300.0,300,U,2019,8,Bachelor of Commerce,BOC,,,,,,,,0,19,VIC,1,Not English,Band7 - 99.90+,Tertiary English, 
129944,300.0,300,U,2019,7,Bachelor of Commerce,BOC,,,,,,,,1,18,,0,English,Band6 - 98.00 - 99.85,Not Entered, 
129963,300.0,500,U,2019,8,Bachelor of Biomedicine,BOB,,,,,,,,1,<18,VIC,0,Not English,Band5 - 95.00 - 97.95,Not Entered, 
129975,300.0,603,U,2019,8,Bachelor of Science,BSC,,,,,,,,0,18,,1,English,,Tertiary English, 
130000,300.0,300,U,2019,2,Bachelor of Commerce,BOC,,,,,,,,0,19,,1,Not English,,Not Entered, 
130002,300.0,300,U,2019,2,Bachelor of Commerce,BOC,,,,,,,,0,18,,0,English,Band5 - 95.00 - 97.95,Not Entered, 
130147,100.0,100,U,2019,6,Bachelor of Arts (Degree with Honours),BOA,,,,,,,,1,19,VIC,0,English,Band5 - 95.00 - 97.95,Not Entered, 
139989,300.0,300,U,2019,10,Bachelor of Commerce,BOC,,,,,,,,1,19,,1,Not English,,Tertiary English, 
130273,300.0,603,U,2019,7,Bachelor of Science,BSC,,,,,,,,1,20-21,VIC,0,English,Band4 - 90.00 - 94.95,Tertiary English, 
139968,100.0,100,U,2019,5,Bachelor of Arts (Degree with Honours),BOA,,,,,,,,1,20-21,,1,Not English,,Not Entered, 
130311,300.0,603,U,2019,7,Bachelor of Science,BSC,,,,,,,,0,19,,1,Not English,Band5 - 95.00 - 97.95,Tertiary English, 
130508,300.0,100,U,2019,8,Bachelor of Arts,BOA,,,,,,,,1,20-21,,1,Not English,,Not Entered, 
130539,300.0,300,U,2019,8,Bachelor of Commerce,BOC,,,,,,,,0,18,,1,Not English,,IELTS,6.5
130622,300.0,300,U,2019,4,Bachelor of Commerce,BOC,,,,,,,,1,18,,1,English,,Not Entered, 
129819,300.0,603,U,2019,5,Bachelor of Science,BSC,,,,,,,,1,22-24,,1,Not English,,Not Entered, 
139900,100.0,603,U,2019,4,Bachelor of Science (Degree with Honours),BSC,,,,,,,,0,18,VIC,0,English,Band4 - 90.00 - 94.95,Not Entered, 
140106,300.0,603,U,2019,8,Bachelor of Science,BSC,,,,,,,,1,<18,VIC,0,English,Band4 - 90.00 - 94.95,Tertiary English, 
129729,300.0,300,U,2019,6,Bachelor of Commerce,BOC,,,,,,,,0,<18,,1,Not English,,Not Entered, 
129145,300.0,603,U,2019,4,Bachelor of Science,BSC,,,,,,,,0,<18,VIC,0,English,Band4 - 90.00 - 94.95,Not Entered, 
140475,300.0,300,U,2019,2,Bachelor of Commerce,BOC,,,,,,,,0,18,NSW,0,English,Band5 - 95.00 - 97.95,Tertiary English, 
129170,300.0,603,U,2019,3,Bachelor of Science,BSC,,,,,,,,0,18,VIC,0,English,Band4 - 90.00 - 94.95,Not Entered, 
140457,300.0,603,U,2019,3,Bachelor of Science,BSC,,,,,,,,1,20-21,,1,Not English,,Not Entered, 
140438,300.0,300,U,2019,3,Bachelor of Commerce,BOC,,,,,,,,1,<18,VIC,0,English,Band5 - 95.00 - 97.95,Not Entered, 
140418,300.0,300,U,2019,8,Bachelor of Commerce,BOC,,,,,,,,0,19,,0,English,,Not Entered, 
140392,100.0,603,U,2019,4,Bachelor of Science (Degree with Honours),BSC,,,,,,,,1,18,VIC,0,English,Band4 - 90.00 - 94.95,Tertiary English, 
129176,300.0,100,U,2019,3,Bachelor of Arts,BOA,,,,,,,,0,<18,VIC,0,Not English,Band4 - 90.00 - 94.95,Not Entered, 
129270,300.0,603,U,2019,8,Bachelor of Science,BSC,,,,,,,,1,19,VIC,0,Not English,Band4 - 90.00 - 94.95,Tertiary English, 
129282,300.0,300,U,2019,3,Bachelor of Commerce,BOC,,,,,,,,0,20-21,,1,Not English,,IELTS,8
129384,300.0,603,U,2019,1,Bachelor of Science,BSC,,,,,,,,1,20-21,,1,Not English,,Not Entered, 
140276,300.0,702,U,2019,2,Bachelor of Environments,BOE,,,,,,,,0,18,,1,English,,Not Entered, 
129418,300.0,603,U,2019,2,Bachelor of Science,BSC,,,,,,,,1,<18,WA,0,Not English,Band7 - 99.90+,Not Entered, 
140239,300.0,603,U,2019,6,Bachelor of Science,BSC,,,,,,,,0,22-24,VIC,0,Not English,Band6 - 98.00 - 99.85,Not Entered, 
129472,100.0,100,U,2019,6,Bachelor of Arts (Degree with Honours),BOA,,,,,,,,1,20-21,,1,English,,Not Entered, 
129623,300.0,100,U,2019,8,Bachelor of Arts,BOA,,,,,,,,0,18,VIC,1,Not English,Band3 - 85.00 - 89.95,Not Entered, 
140188,300.0,500,U,2019,8,Bachelor of Biomedicine,BOB,,,,,,,,0,<18,VIC,0,English,Band6 - 98.00 - 99.85,Not Entered, 
